term,index,definition
qualifying relative,title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-d,"means, with respect to any taxpayer for any taxable year, an individual— (A) who bears a relationship to the taxpayer described in paragraph (2), (B) whose gross income for the calendar year in which such taxable year begins is less than the exemption amount (as defined in section 151(d)), (C) with respect to whom the taxpayer provides over one-half of the individual's support for the calendar year in which such taxable year begins, and (D) who is not a qualifying child of such taxpayer or of any other taxpayer for any taxable year beginning in the calendar year in which such taxable year begins."
controlled group,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-38_subsection-c,meaning given to such term by section 1563(a).
controlled group,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-t,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-t,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179_subsection-d,"meaning assigned to it by section 1563(a), except that, for such purposes, the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" each place it appears in section 1563(a)(1)."
controlled group,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-f,"meaning given to such term by section 1563(a), except that— (A) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears in section 1563(a), and (B) the determination shall be made without regard to subsections (a)(4) and (e)(3)(C) of section 1563."
controlled group,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-f,"refers to a relationship which would result in a disallowance of losses under this section, deferral under paragraph (2) shall be treated as disallowance."
controlled group,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-384_subsection-b,"means a controlled group of corporations (as defined in section 1563(a)); except that— (A) ""more than 50 percent"" shall be substituted for ""at least 80 percent"" each place it appears, (B) the ownership requirements of section 1563(a) must be met both with respect to voting power and value, and (C) the determination shall be made without regard to subsection (a)(4) of section 1563."
controlled group,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-A_section-404_subsection-a,"meaning provided by section 1563(a), determined without regard to section 1563(a)(4) and (e)(3)(C)."
controlled group,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-412_subsection-d,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,title-26_subtitle-A_chapter-1_subchapter-D_part-I_subpart-B_section-414_subsection-l,"means any group treated as a single employer under subsection (b), (c), (m), or (o)."
