term,type,index,definition
first-time farmer,Entity,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-147_subsection-c,"means any individual if such individual— (I) has not at any time had any direct or indirect ownership interest in substantial farmland in the operation of which such individual materially participated, and (II) has not received financing under this paragraph in an amount which, when added to the financing to be provided under this paragraph, exceeds the amount in effect under subparagraph (A)."
applicable investor,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-897_subsection-k,"means, with respect to any qualified shareholder holding stock in a real estate investment trust, a person (other than a qualified shareholder) which— (i) holds an interest (other than an interest solely as a creditor) in such qualified shareholder, and (ii) holds more than 10 percent of the stock of such real estate investment trust (whether or not by reason of the person's ownership interest in the qualified shareholder)."
computer software source code,Entity,title-26_subtitle-F_chapter-78_subchapter-A_section-7612_subsection-d,"means— (A) the code written by a programmer using a programming language which is comprehensible to appropriately trained persons and is not capable of directly being used to give instructions to a computer; (B) related programmers' notes, design documents, memoranda, and similar documentation; and (C) related customer communications."
adult,Entity,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-C_section-5042_subsection-a,"means an individual who has attained 18 years of age, or the minimum age (if any) established by law applicable in the locality in which the household is situated at which wine may be sold to individuals, whichever is greater."
adult,Entity,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5053_subsection-e,"means an individual who has attained 18 years of age, or the minimum age (if any) established by law applicable in the locality in which the household is situated at which beer may be sold to individuals, whichever is greater."
qualifying relative,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-V_section-152_subsection-d,"means, with respect to any taxpayer for any taxable year, an individual— (A) who bears a relationship to the taxpayer described in paragraph (2), (B) whose gross income for the calendar year in which such taxable year begins is less than the exemption amount (as defined in section 151(d)), (C) with respect to whom the taxpayer provides over one-half of the individual's support for the calendar year in which such taxable year begins, and (D) who is not a qualifying child of such taxpayer or of any other taxpayer for any taxable year beginning in the calendar year in which such taxable year begins."
disqualified corporation,Entity,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-953_subsection-c,"means, with respect to any taxable year, any foreign corporation which is a controlled foreign corporation for an uninterrupted period of 30 days or more during such taxable year (determined without regard to this subsection) but only if a United States shareholder (determined without regard to this subsection) owns (within the meaning of section 958(a)) stock in such corporation at some time during such taxable year."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-38_subsection-c,meaning given to such term by section 1563(a).
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-t,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-II_section-72_subsection-t,"means any group treated as a single employer under subsection (b), (c), (m), or (o) of section 414."
controlled group,Concept,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-179_subsection-d,"meaning assigned to it by section 1563(a), except that, for such purposes, the phrase ""more than 50 percent"" shall be substituted for the phrase ""at least 80 percent"" each place it appears in section 1563(a)(1)."
