term,index,definition
first-time farmer,title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-A_section-147_subsection-c,"means any individual if such individual— (I) has not at any time had any direct or indirect ownership interest in substantial farmland in the operation of which such individual materially participated, and (II) has not received financing under this paragraph in an amount which, when added to the financing to be provided under this paragraph, exceeds the amount in effect under subparagraph (A)."
applicable investor,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-D_section-897_subsection-k,"means, with respect to any qualified shareholder holding stock in a real estate investment trust, a person (other than a qualified shareholder) which— (i) holds an interest (other than an interest solely as a creditor) in such qualified shareholder, and (ii) holds more than 10 percent of the stock of such real estate investment trust (whether or not by reason of the person's ownership interest in the qualified shareholder)."
computer software source code,title-26_subtitle-F_chapter-78_subchapter-A_section-7612_subsection-d,"means— (A) the code written by a programmer using a programming language which is comprehensible to appropriately trained persons and is not capable of directly being used to give instructions to a computer; (B) related programmers' notes, design documents, memoranda, and similar documentation; and (C) related customer communications."
adult,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-C_section-5042_subsection-a,"means an individual who has attained 18 years of age, or the minimum age (if any) established by law applicable in the locality in which the household is situated at which wine may be sold to individuals, whichever is greater."
adult,title-26_subtitle-E_chapter-51_subchapter-A_part-I_subpart-D_section-5053_subsection-e,"means an individual who has attained 18 years of age, or the minimum age (if any) established by law applicable in the locality in which the household is situated at which beer may be sold to individuals, whichever is greater."
disqualified corporation,title-26_subtitle-A_chapter-1_subchapter-N_part-III_subpart-F_section-953_subsection-c,"means, with respect to any taxable year, any foreign corporation which is a controlled foreign corporation for an uninterrupted period of 30 days or more during such taxable year (determined without regard to this subsection) but only if a United States shareholder (determined without regard to this subsection) owns (within the meaning of section 958(a)) stock in such corporation at some time during such taxable year."
high deductible health plan,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-220_subsection-c,"means a health plan— (i) in the case of self-only coverage, which has an annual deductible which is not less than $1,500 and not more than $2,250, (ii) in the case of family coverage, which has an annual deductible which is not less than $3,000 and not more than $4,500, and (iii) the annual out-of-pocket expenses required to be paid under the plan (other than for premiums) for covered benefits does not exceed— (I) $3,000 for self-only coverage, and (II) $5,500 for family coverage."
high deductible health plan,title-26_subtitle-A_chapter-1_subchapter-B_part-VII_section-223_subsection-c,"means a health plan— (i) which has an annual deductible which is not less than— (I) $1,000 for self-only coverage, and (II) twice the dollar amount in subclause (I) for family coverage, and (ii) the sum of the annual deductible and the other annual out-of-pocket expenses required to be paid under the plan (other than for premiums) for covered benefits does not exceed— (I) $5,000 for self-only coverage, and (II) twice the dollar amount in subclause (I) for family coverage."
existing 80/20 company,title-26_subtitle-A_chapter-1_subchapter-N_part-II_subpart-A_section-871_subsection-l,"means any corporation if— (i) such corporation met the 80-percent foreign business requirements of section 861(c)(1) (as in effect before the date of the enactment of this subsection) for such corporation's last taxable year beginning before January 1, 2011, (ii) such corporation meets the 80-percent foreign business requirements of subparagraph (B) with respect to each taxable year after the taxable year referred to in clause (i), and (iii) there has not been an addition of a substantial line of business with respect to such corporation after the date of the enactment of this subsection."
qualified heir,title-26_subtitle-B_chapter-11_subchapter-A_part-III_section-2032A_subsection-e,"means, with respect to any property, a member of the decedent's family who acquired such property (or to whom such property passed) from the decedent."
dealer in securities,title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-163_subsection-l,meaning given such term by section 475.
dealer in securities,title-26_subtitle-A_chapter-1_subchapter-E_part-II_subpart-D_section-475_subsection-c,"means a taxpayer who— (A) regularly purchases securities from or sells securities to customers in the ordinary course of a trade or business; or (B) regularly offers to enter into, assume, offset, assign or otherwise terminate positions in securities with customers in the ordinary course of a trade or business."
offsetting notional principal contract,title-26_subtitle-A_chapter-1_subchapter-P_part-IV_section-1259_subsection-d,"means, with respect to any property, an agreement which includes— (A) a requirement to pay (or provide credit for) all or substantially all of the investment yield (including appreciation) on such property for a specified period, and (B) a right to be reimbursed for (or receive credit for) all or substantially all of any decline in the value of such property."
biodiesel,title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-40A_subsection-d,means the monoalkyl esters of long chain fatty acids derived from plant or animal matter which meet— (A) the registration requirements for fuels and fuel additives established by the Environmental Protection Agency under section 211 of the Clean Air Act (42 U.
eligible independent contractor,title-26_subtitle-A_chapter-1_subchapter-M_part-II_section-856_subsection-d,"means, with respect to any qualified lodging facility or qualified health care property (as defined in subsection (e)(6)(D)(i)), any independent contractor if, at the time such contractor enters into a management agreement or other similar service contract with the taxable REIT subsidiary to operate such qualified lodging facility or qualified health care property, such contractor (or any related person) is actively engaged in the trade or business of operating qualified lodging facilities or qualified health care properties, respectively, for any person who is not a related person with respect to the real estate investment trust or the taxable REIT subsidiary."
rural area,title-26_subtitle-A_chapter-1_subchapter-U_part-I_section-1393_subsection-a,"means any area which is— (A) outside of a metropolitan statistical area (within the meaning of section 143(k)(2)(B)), or (B) determined by the Secretary of Agriculture, after consultation with the Secretary of Commerce, to be a rural area."
new loss corporation,title-26_subtitle-A_chapter-1_subchapter-C_part-V_section-382_subsection-k,means a corporation which (after an ownership change) is a loss corporation.
miner,title-26_subtitle-A_chapter-1_subchapter-F_part-I_section-501_subsection-c,meaning as such term has when used in section 402(d) of the Black Lung Benefits Act (30 U.
qualified 5-percent or less partner,title-26_subtitle-A_chapter-1_subchapter-B_part-IX_section-267_subsection-e,"means any partner who has (directly or indirectly) an interest of 5 percent or less in the aggregate capital and profits interests of the partnership but only if— (i) such partner owned the low-income housing at all times during the 2-year period ending on the date such housing was transferred to the partnership, or (ii) such partnership acquired the low-income housing pursuant to a purchase, assignment, or other transfer from the Department of Housing and Urban Development or any State or local housing authority."
crew leader,title-26_subtitle-C_chapter-21_subchapter-C_section-3121_subsection-o,"means an individual who furnishes individuals to perform agricultural labor for another person, if such individual pays (either on his own behalf or on behalf of such person) the individuals so furnished by him for the agricultural labor performed by them and if such individual has not entered into a written agreement with such person whereby such individual has been designated as an employee of such person; and such individuals furnished by the crew leader to perform agricultural labor for another person shall be deemed to be the employees of such crew leader."
