index,name
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,married
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,spouse
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,surviving spouse
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,individual
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-a,vin
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-b,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-b,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-b,head of a household
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-b,household
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,married
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,spouse
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,surviving spouse
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,individual
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,vin
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,head of a household
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-c,household
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-d,married
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-d,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-d,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-d,spouse
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-d,individual
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-e,state
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-e,trust
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-e,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-e,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-e,estate
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-e,subsection
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,case
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,consumer
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,married
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,form
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,the secretary
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,married individuals
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,married individuals filing separately
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,consumer price index
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,individuals
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,gas
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,department of labor
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,individual
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,bureau
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,department
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,bureau of labor statistics
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,tin
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,account
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,secretary
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,vin
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,consumers
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,subsection
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-f,labor
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,share
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,case
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,custodial parent
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,trust
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,children
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,married
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,the secretary
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,mine
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,qualified disability trust
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,married individuals
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,fund
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,accounts
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,married individuals filing separately
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,table
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,individuals
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,dependent
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,this section
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,name
title-26_subtitle-A_chapter-1_subchapter-A_part-I_section-1_subsection-g,dependents
