index,name,type,definition
title-26_subtitle-A_chapter-1_subchapter-C_part-II_subpart-B_section-338_subsection-h,purchase,concept,"means any acquisition of stock, but only if— (i) the basis of the stock in the hands of the purchasing corporation is not determined (I) in whole or in part by reference to the adjusted basis of such stock in the hands of the person from whom acquired, or (II) under section 1014(a) (relating to property acquired from a decedent), (ii) the stock is not acquired in an exchange to which section 351, 354, 355, or 356 applies and is not acquired in any other transaction described in regulations in which the transferor does not recognize the entire amount of the gain or loss realized on the transaction, and (iii) the stock is not acquired from a person the ownership of whose stock would, under section 318(a) (other than paragraph (4) thereof), be attributed to the person acquiring such stock."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-45E_subsection-f,wages,entity,meaning given such term by section 3121(a).
title-26_subtitle-B_chapter-13_subchapter-B_section-2611_subsection-b,generation-skipping transfer,concept,"does not include— (1) any transfer which, if made inter vivos by an individual, would not be treated as a taxable gift by reason of section 2503(e) (relating to exclusion of certain transfers for educational or medical expenses), and (2) any transfer to the extent— (A) the property transferred was subject to a prior tax imposed under this chapter, (B) the transferee in the prior transfer was assigned to the same generation as (or a lower generation than) the generation assignment of the transferee in this transfer, and (C) such transfers do not have the effect of avoiding tax under this chapter with respect to any transfer."
title-26_subtitle-A_chapter-1_subchapter-D_part-III_subpart-A_section-430_subsection-m,controlled group,entity,"means all persons treated as a single employer under subsection (b), (c), (m), or (o) of section 414 as of December 20, 2019."
title-26_subtitle-A_chapter-1_subchapter-L_part-II_section-834_subsection-b,gross investment income,concept,"means the sum of the following: (1) The gross amount of income during the taxable year from— (A) interest, dividends, rents, and royalties, (B) the entering into of any lease, mortgage, or other instrument or agreement from which the insurance company derives interest, rents, or royalties, (C) the alteration or termination of any instrument or agreement described in subparagraph (B), and (D) gains from sales or exchanges of capital assets to the extent provided in subchapter P (relating to capital gains and losses)."
title-26_subtitle-A_chapter-1_subchapter-I_part-I_section-613A_subsection-c,stripper well property,concept,"means, with respect to any calendar year, any property with respect to which the amount determined by dividing— (i) the average daily production of domestic crude oil and domestic natural gas from producing wells on such property for such calendar year, by (ii) the number of such wells, (F) Heavy oil For purposes of this paragraph,"
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-F_section-51_subsection-c,wages,entity,meaning given to such term by subsection (b) of section 3306 (determined without regard to any dollar limitation contained in such section).
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-D_section-41_subsection-b,in-house research expenses,concept,"means— (i) any wages paid or incurred to an employee for qualified services performed by such employee, (ii) any amount paid or incurred for supplies used in the conduct of qualified research, and (iii) under regulations prescribed by the Secretary, any amount paid or incurred to another person for the right to use computers in the conduct of qualified research."
title-26_subtitle-A_chapter-1_subchapter-B_part-IV_subpart-C_section-150_subsection-d,senior stock,entity,"means stock— (i) which participates pro rata and fully in the equity value of the corporation with all other common stock of the corporation but which has the right to payment of liquidation proceeds prior to payment of liquidation proceeds in respect of other common stock of the corporation; (ii) which has a fixed right upon liquidation and upon redemption to an amount equal to the greater of— (I) the fair market value of such stock on the date of liquidation or redemption (whichever is applicable); or (II) the fair market value of all assets transferred in exchange for such stock and reduced by the amount of all liabilities of the corporation which has made an election under this paragraph assumed by the transferee corporation in such transfer; (iii) the holder of which has the right to require the transferee corporation to redeem on a date that is not later than 10 years after the date on which an election under this paragraph was made and pursuant to such election such stock was issued; and (iv) in respect of which, during the time such stock is outstanding, there is not outstanding any equity interest in the corporation having any liquidation, redemption or dividend rights in the corporation which are superior to those of such stock."
title-26_subtitle-A_chapter-1_subchapter-B_part-VI_section-165_subsection-g,security,entity,"means— (A) a share of stock in a corporation; (B) a right to subscribe for, or to receive, a share of stock in a corporation; or (C) a bond, debenture, note, or certificate, or other evidence of indebtedness, issued by a corporation or by a government or political subdivision thereof, with interest coupons or in registered form."
title-26_subtitle-A_chapter-1_subchapter-A_part-IV_subpart-E_section-48D_subsection-b,advanced manufacturing facility,concept,means a facility for which the primary purpose is the manufacturing of semiconductors or semiconductor manufacturing equipment.
title-26_subtitle-F_chapter-68_subchapter-B_part-I_section-6696_subsection-e,return,entity,"means any return of any tax imposed by this title, any administrative adjustment request under section 6227, and any partnership adjustment tracking report under section 6226(b)(4)(A)."
title-26_subtitle-D_chapter-47_section-5000_subsection-d,employer,entity,does not include a Federal or other governmental entity.
